Number,Transect,SITENAME,Variable,Year,Weight,%Carbon,%Hydrogen,%Nitrogen,Researcher,%OrganicC,%InorganicC
28,TS,TS/Ph4,Control,2017,18.65,13.96,0.45,0.57,A.Gorsky,-9999,-9999
29,TS,TS/Ph4,Control,2017,14.13,0.47,0.61,0.85,A.Gorsky,-9999,-9999
30,TS,TS/Ph4,Control,2017,19.63,13.97,0.45,0.57,A.Gorsky,-9999,-9999
31,TS,TS/Ph5,Control,2017,18.38,14.18,0.48,0.62,A.Gorsky,-9999,-9999
32,TS,TS/Ph5,Control,2017,17.47,14.06,0.43,0.57,A.Gorsky,-9999,-9999
33,TS,TS/Ph5,Control,2017,17.39,14.26,0.48,0.62,A.Gorsky,-9999,-9999
34,TS,TS/Ph6b,Control,2017,15.64,40.59,2.53,3.07,A.Gorsky,-9999,-9999
35,TS,TS/Ph6b,Control,2017,13.3,41.09,2.98,2.66,A.Gorsky,-9999,-9999
36,TS,TS/Ph6b,Control,2017,17.92,41.7,2.22,3.14,A.Gorsky,-9999,-9999
37,TS,TS/Ph7b,Control,2017,16.69,17.53,1.6,0.86,A.Gorsky,-9999,-9999
38,TS,TS/Ph7b,Control,2017,17.12,16.68,1.57,0.82,A.Gorsky,-9999,-9999
39,TS,TS/Ph7b,Control,2017,20.33,16.7,1.44,0.82,A.Gorsky,-9999,-9999
40,TS,TS/Ph8,Control,2017,15.66,20.62,2.41,1.32,A.Gorsky,-9999,-9999
41,TS,TS/Ph8,Control,2017,15.84,20.86,2.25,1.2,A.Gorsky,-9999,-9999
42,TS,TS/Ph8,Control,2017,15.72,21.18,2.38,1.29,A.Gorsky,-9999,-9999
43,TS,TS/Ph9,Control,2017,17.88,10.78,0.34,0.38,A.Gorsky,-9999,-9999
44,TS,TS/Ph9,Control,2017,15.81,10.42,0.29,0.32,A.Gorsky,-9999,-9999
45,TS,TS/Ph9,Control,2017,19.04,10.83,0.3,0.33,A.Gorsky,-9999,-9999
1,SRS,SRS1d,Control,2017.5,17.3,20.76,1.65,1.31,A.Gorsky,11.61,9.15
2,SRS,SRS1d,Control,2017.5,15.32,27.85,2.78,2.09,A.Gorsky,20.81,7.04
3,SRS,SRS1d,Control,2017.5,16.53,31.92,2.68,2.65,A.Gorsky,26.02,5.9
4,SRS,SRS2,Control,2017.5,14.54,47.45,3,3.97,A.Gorsky,44.52,2.93
5,SRS,SRS2,Control,2017.5,14.72,46.32,2.97,4.04,A.Gorsky,43.91,2.41
6,SRS,SRS2,Control,2017.5,12.15,47.92,3.59,3.91,A.Gorsky,45.5,2.42
7,SRS,SRS3,Control,2017.5,13.78,48.59,3.28,4.42,A.Gorsky,45.56,3.03
8,SRS,SRS3,Control,2017.5,15.32,48.52,2.92,4.1,A.Gorsky,45.83,2.69
9,SRS,SRS3,Control,2017.5,10.48,48.98,4.19,4.13,A.Gorsky,46.46,2.52
10,SRS,SRS4,Control,2017.5,14.17,46.15,3.03,3.23,A.Gorsky,42.48,3.67
11,SRS,SRS4,Control,2017.5,13.16,46.88,3.3,3.19,A.Gorsky,45.66,1.22
12,SRS,SRS4,Control,2017.5,14.3,46.28,3.04,3.25,A.Gorsky,44.79,1.49
13,SRS,SRS5,Bottom,2017.5,12.21,30.92,3.43,1.76,A.Gorsky,28.57,2.35
14,SRS,SRS5,Bottom,2017.5,17.23,34.82,2.59,2.11,A.Gorsky,33.26,1.56
15,SRS,SRS5,Bottom,2017.5,16.03,25.3,2.71,1.47,A.Gorsky,17.43,7.87
16,SRS,SRS5,Top,2017.5,16.03,13.21,0.84,0.59,A.Gorsky,5.54,7.67
17,SRS,SRS5,Top,2017.5,18.6,13.65,0.93,0.64,A.Gorsky,6.05,7.6
18,SRS,SRS5,Top,2017.5,14.68,13.72,0.96,0.64,A.Gorsky,6.16,7.56
19,SRS,SRS6,Bottom,2017.5,18.7,14.06,1.01,0.62,A.Gorsky,7.79,6.27
20,SRS,SRS6,Bottom,2017.5,16.64,15.79,1.3,0.77,A.Gorsky,9.85,5.94
21,SRS,SRS6,Bottom,2017.5,17.28,14.98,1.13,0.67,A.Gorsky,8.77,6.21
22,SRS,SRS6,Top,2017.5,15.15,12.68,0.79,0.55,A.Gorsky,5.04,7.64
23,SRS,SRS6,Top,2017.5,15.71,12.12,0.69,0.51,A.Gorsky,4.33,7.79
24,SRS,SRS6,Top,2017.5,18.23,12.41,0.74,0.52,A.Gorsky,2.59,9.82
25,TS,TS/Ph1,Control,2017.5,17.04,14.94,0.88,0.89,A.Gorsky,5.01,9.93
26,TS,TS/Ph1,Control,2017.5,13.5,15.78,0.85,0.93,A.Gorsky,5.46,10.32
27,TS,TS/Ph1,Control,2017.5,17.44,14.65,0.6,0.65,A.Gorsky,3.65,11
28,TS,TS/Ph10,Control,2017.5,17.03,12.07,0.43,0.39,A.Gorsky,1.93,10.14
29,TS,TS/Ph10,Control,2017.5,15.63,12.24,0.46,0.41,A.Gorsky,2.57,9.67
30,TS,TS/Ph10,Control,2017.5,15.68,12.42,0.46,0.43,A.Gorsky,2.61,9.81
31,TS,TS/Ph11,Control,2017.5,17.48,11.93,0.42,0.39,A.Gorsky,1.97,9.96
32,TS,TS/Ph11,Control,2017.5,14.76,12.32,0.54,0.48,A.Gorsky,2.76,9.56
33,TS,TS/Ph11,Control,2017.5,16.63,12.54,0.56,0.51,A.Gorsky,3.21,9.33
34,TS,TS/Ph2,Control,2017.5,15.32,14.56,0.55,0.63,A.Gorsky,3.78,10.78
35,TS,TS/Ph2,Control,2017.5,15.64,15.35,0.68,0.75,A.Gorsky,4.49,10.86
36,TS,TS/Ph2,Control,2017.5,12.44,16.02,0.79,0.82,A.Gorsky,5.38,10.64
37,TS,TS/Ph3,Control,2017.5,14.7,16.81,0.88,0.79,A.Gorsky,6.24,10.57
38,TS,TS/Ph3,Control,2017.5,12.87,19.64,1.39,1.14,A.Gorsky,9.87,9.77
39,TS,TS/Ph3,Control,2017.5,16.37,16.73,0.89,0.85,A.Gorsky,6.21,10.52
40,TS,TS/Ph4,Control,2017.5,18.31,14.42,0.53,0.57,A.Gorsky,3.22,11.2
41,TS,TS/Ph4,Control,2017.5,18.35,14.44,0.51,0.54,A.Gorsky,3.27,11.17
42,TS,TS/Ph4,Control,2017.5,15.14,13.98,0.45,0.52,A.Gorsky,2.72,11.26
43,TS,TS/Ph5,Control,2017.5,15.64,14.72,0.56,0.61,A.Gorsky,3.45,11.27
44,TS,TS/Ph5,Control,2017.5,15.39,14.34,0.48,0.55,A.Gorsky,3,11.34
45,TS,TS/Ph5,Control,2017.5,16.27,14.06,0.43,0.49,A.Gorsky,2.54,11.52
46,TS,TS/Ph6b,Control,2017.5,15.09,46.11,2.94,3.04,A.Gorsky,45.84,0.27
47,TS,TS/Ph6b,Control,2017.5,16.45,28.34,2.65,1.64,A.Gorsky,22.46,5.88
48,TS,TS/Ph6b,Control,2017.5,15.14,44.54,2.87,2.88,A.Gorsky,44.28,0.26
49,TS,TS/Ph7b,Control,2017.5,15.73,16.71,1.17,0.69,A.Gorsky,9.01,7.7
50,TS,TS/Ph7b,Control,2017.5,15.51,16.43,1.06,0.67,A.Gorsky,8.32,8.11
51,TS,TS/Ph7b,Control,2017.5,15.99,18.69,1.45,0.85,A.Gorsky,11.54,7.15
52,TS,TS/Ph9,Control,2017.5,15.85,10.47,0.31,0.31,A.Gorsky,1.58,8.89
53,TS,TS/Ph9,Control,2017.5,15.47,10.76,0.31,0.31,A.Gorsky,1.96,8.8
54,TS,TS/Ph9,Control,2017.5,16.01,11.34,0.37,0.36,A.Gorsky,2.41,8.93
1,SRS,SRS1d,Control,2018,13.92,43.99,3.1,3.55,A.Gorsky,-9999,-9999
2,SRS,SRS1d,Control,2018,9.25,44.51,4.5,3.67,A.Gorsky,-9999,-9999
3,SRS,SRS1d,Control,2018,7.94,41.2,4.92,3.46,A.Gorsky,-9999,-9999
4,SRS,SRS2,Control,2018,12.66,45.56,3.2,3.77,A.Gorsky,-9999,-9999
5,SRS,SRS2,Control,2018,6.16,48.56,5.98,3.85,A.Gorsky,-9999,-9999
6,SRS,SRS2,Control,2018,9.34,46.59,4.48,4.22,A.Gorsky,-9999,-9999
7,SRS,SRS3,Control,2018,9.38,47.78,4.48,4.49,A.Gorsky,-9999,-9999
8,SRS,SRS3,Control,2018,10.11,47.7,4.08,4.59,A.Gorsky,-9999,-9999
9,SRS,SRS3,Control,2018,8.34,48.44,4.84,4.6,A.Gorsky,-9999,-9999
10,SRS,SRS4,Control,2018,11.4,45.1,3.58,3.29,A.Gorsky,-9999,-9999
11,SRS,SRS4,Control,2018,12.49,46.42,3.36,2.98,A.Gorsky,-9999,-9999
12,SRS,SRS4,Control,2018,10.31,44.73,4.17,3.08,A.Gorsky,-9999,-9999
13,SRS,SRS5,Control,2018,15.06,32.34,2.89,1.97,A.Gorsky,-9999,-9999
14,SRS,SRS5,Control,2018,11.41,30.86,3.43,1.86,A.Gorsky,-9999,-9999
15,SRS,SRS5,Control,2018,8.81,32.9,3.83,2.07,A.Gorsky,-9999,-9999
16,SRS,SRS6,Control,2018,17.78,16.45,1.38,0.76,A.Gorsky,-9999,-9999
17,SRS,SRS6,Control,2018,20.51,14.63,1.21,0.51,A.Gorsky,-9999,-9999
18,SRS,SRS6,Control,2018,19.02,15.33,1.33,0.78,A.Gorsky,-9999,-9999
19,TS,TS/Ph1,Control,2018,14.28,15.18,0.7,0.79,A.Gorsky,-9999,-9999
20,TS,TS/Ph1,Control,2018,20.17,14.37,0.63,0.75,A.Gorsky,-9999,-9999
21,TS,TS/Ph1,Control,2018,16.17,14.91,0.68,0.8,A.Gorsky,-9999,-9999
22,TS,TS/Ph10,Control,2018,13.38,12.39,0.41,0.45,A.Gorsky,-9999,-9999
23,TS,TS/Ph10,Control,2018,24.75,12.19,0.43,0.34,A.Gorsky,-9999,-9999
24,TS,TS/Ph10,Control,2018,21.91,12.25,0.42,0.41,A.Gorsky,-9999,-9999
25,TS,TS/Ph11,Control,2018,14.74,12.56,0.61,0.59,A.Gorsky,-9999,-9999
26,TS,TS/Ph11,Control,2018,15.93,12.47,0.74,0.62,A.Gorsky,-9999,-9999
27,TS,TS/Ph11,Control,2018,18.17,11.85,0.66,1.04,A.Gorsky,-9999,-9999
28,TS,TS/Ph2,Control,2018,12.86,15.71,0.74,0.92,A.Gorsky,-9999,-9999
29,TS,TS/Ph2,Control,2018,10.5,15.29,0.58,0.93,A.Gorsky,-9999,-9999
30,TS,TS/Ph2,Control,2018,18.16,14.62,0.5,0.56,A.Gorsky,-9999,-9999
31,TS,TS/Ph3,Control,2018,16.77,15.42,0.66,0.73,A.Gorsky,-9999,-9999
32,TS,TS/Ph3,Control,2018,18.04,16.24,0.81,0.83,A.Gorsky,-9999,-9999
33,TS,TS/Ph3,Control,2018,20.39,15.51,0.71,0.72,A.Gorsky,-9999,-9999
34,TS,TS/Ph4,Control,2018,21.04,14.5,0.51,0.59,A.Gorsky,-9999,-9999
35,TS,TS/Ph4,Control,2018,15.15,14.21,0.46,0.5,A.Gorsky,-9999,-9999
36,TS,TS/Ph4,Control,2018,14.78,15.11,0.64,0.55,A.Gorsky,-9999,-9999
37,TS,TS/Ph5,Control,2018,21.13,14.34,0.53,0.52,A.Gorsky,-9999,-9999
38,TS,TS/Ph5,Control,2018,12.68,14.62,0.46,0.48,A.Gorsky,-9999,-9999
39,TS,TS/Ph5,Control,2018,15.48,15.62,0.74,0.66,A.Gorsky,-9999,-9999
40,TS,TS/Ph6b,Control,2018,13.91,15.58,0.75,0.64,A.Gorsky,-9999,-9999
41,TS,TS/Ph6b,Control,2018,11.26,15.15,0.64,0.3,A.Gorsky,-9999,-9999
42,TS,TS/Ph6b,Control,2018,17.15,15.52,0.79,0.77,A.Gorsky,-9999,-9999
43,TS,TS/Ph7b,Control,2018,24.65,14.94,0.89,0.5,A.Gorsky,-9999,-9999
44,TS,TS/Ph7b,Control,2018,16.13,17.83,1.37,0.87,A.Gorsky,-9999,-9999
45,TS,TS/Ph7b,Control,2018,14,15.8,1.05,0.51,A.Gorsky,-9999,-9999
46,TS,TS/Ph8,Control,2018,17.86,18.92,1.95,1.31,A.Gorsky,-9999,-9999
47,TS,TS/Ph8,Control,2018,17.83,19.76,2.02,1.23,A.Gorsky,-9999,-9999
48,TS,TS/Ph8,Control,2018,15.93,20.02,2.08,1.31,A.Gorsky,-9999,-9999
49,TS,TS/Ph9,Control,2018,26.99,10.55,0.37,0.26,A.Gorsky,-9999,-9999
50,TS,TS/Ph9,Control,2018,24.57,10.26,0.22,0.04,A.Gorsky,-9999,-9999
51,TS,TS/Ph9,Control,2018,20.4,10.7,0.25,0.29,A.Gorsky,-9999,-9999
1,SRS,SRS1d,Control,2019,9.09,16.7,0.76,0.65,M.Reinsel,-9999,-9999
2,SRS,SRS1d,Control,2019,4.36,21.86,1.65,1.19,M.Reinsel,-9999,-9999
3,SRS,SRS1d,Control,2019,6.89,27.21,3.04,1.96,M.Reinsel,-9999,-9999
4,SRS,SRS2,Control,2019,3.53,44.92,5.92,3.69,M.Reinsel,-9999,-9999
5,SRS,SRS2,Control,2019,4.73,45.39,6.3,3.51,M.Reinsel,-9999,-9999
6,SRS,SRS2,Control,2019,5.77,45.66,6.56,3.52,M.Reinsel,-9999,-9999
7,SRS,SRS3,Control,2019,8.51,44.15,5.36,3.98,M.Reinsel,-9999,-9999
8,SRS,SRS3,Control,2019,10.61,44.71,4.21,3.46,M.Reinsel,-9999,-9999
9,SRS,SRS3,Control,2019,5.9,44.44,6.65,3.97,M.Reinsel,-9999,-9999
10,SRS,SRS4,Control,2019,8.69,38.89,5.36,2.73,M.Reinsel,-9999,-9999
11,SRS,SRS4,Control,2019,7.3,40.71,5.91,2.67,M.Reinsel,-9999,-9999
12,SRS,SRS4,Control,2019,6.52,39.66,5.86,2.56,M.Reinsel,-9999,-9999
13,SRS,SRS5,Control,2019,8.77,29.43,4.56,1.58,M.Reinsel,-9999,-9999
14,SRS,SRS5,Control,2019,13.78,20.85,2.76,1.07,M.Reinsel,-9999,-9999
15,SRS,SRS5,Control,2019,13.49,19.14,2.42,0.97,M.Reinsel,-9999,-9999
16,SRS,SRS6,Control,2019,15.36,15.41,1.68,0.69,M.Reinsel,-9999,-9999
17,SRS,SRS6,Control,2019,11.74,15.01,1.5,0.64,M.Reinsel,-9999,-9999
18,SRS,SRS6,Control,2019,19.3,16.03,1.8,0.75,M.Reinsel,-9999,-9999
19,TS,TS/Ph1,Control,2019,11.13,14.71,0.54,0.56,M.Reinsel,-9999,-9999
20,TS,TS/Ph1,Control,2019,15.43,15.31,0.78,0.71,M.Reinsel,-9999,-9999
21,TS,TS/Ph1,Control,2019,9.9,17.31,1.12,0.93,M.Reinsel,-9999,-9999
22,TS,TS/Ph10,Control,2019,13,12.07,0.45,0.37,M.Reinsel,-9999,-9999
23,TS,TS/Ph10,Control,2019,8.98,12.3,0.38,0.37,M.Reinsel,-9999,-9999
24,TS,TS/Ph10,Control,2019,10.18,12.22,0.41,0.38,M.Reinsel,-9999,-9999
25,TS,TS/Ph11,Control,2019,14.06,12.42,0.61,0.46,M.Reinsel,-9999,-9999
26,TS,TS/Ph11,Control,2019,8.82,12.8,0.6,0.52,M.Reinsel,-9999,-9999
27,TS,TS/Ph11,Control,2019,9.28,12.5,0.53,0.45,M.Reinsel,-9999,-9999
28,TS,TS/Ph2,Control,2019,6.06,16.06,0.59,0.71,M.Reinsel,-9999,-9999
29,TS,TS/Ph2,Control,2019,10.78,15.68,0.71,1.51,M.Reinsel,-9999,-9999
30,TS,TS/Ph2,Control,2019,5,15.91,0.5,0.75,M.Reinsel,-9999,-9999
31,TS,TS/Ph3,Control,2019,6.13,16.69,0.66,0.75,M.Reinsel,-9999,-9999
32,TS,TS/Ph3,Control,2019,6.82,16.92,0.72,0.78,M.Reinsel,-9999,-9999
33,TS,TS/Ph3,Control,2019,4.86,17.22,0.66,0.86,M.Reinsel,-9999,-9999
34,TS,TS/Ph4,Control,2019,7.91,14.59,0.32,0.53,M.Reinsel,-9999,-9999
35,TS,TS/Ph4,Control,2019,6.42,15.12,0.38,0.56,M.Reinsel,-9999,-9999
36,TS,TS/Ph4,Control,2019,4.25,15.11,0.18,0.51,M.Reinsel,-9999,-9999
37,TS,TS/Ph5,Control,2019,4.8,15.85,0.36,0.65,M.Reinsel,-9999,-9999
38,TS,TS/Ph5,Control,2019,5.2,14.68,0.18,0.5,M.Reinsel,-9999,-9999
39,TS,TS/Ph5,Control,2019,7.68,14.43,0.27,0.47,M.Reinsel,-9999,-9999
40,TS,TS/Ph6b,Control,2019,9.58,16.61,0.85,0.54,M.Reinsel,-9999,-9999
41,TS,TS/Ph6b,Control,2019,7.15,16.14,0.74,0.61,M.Reinsel,-9999,-9999
43,TS,TS/Ph7b,Control,2019,6.37,26.13,4.14,1.47,M.Reinsel,-9999,-9999
44,TS,TS/Ph7b,Control,2019,6.34,25.26,4.07,1.71,M.Reinsel,-9999,-9999
45,TS,TS/Ph7b,Control,2019,7.28,30.22,4.75,1.61,M.Reinsel,-9999,-9999
46,TS,TS/Ph8,Control,2019,9.37,25.77,3.5,1.33,M.Reinsel,-9999,-9999
47,TS,TS/Ph8,Control,2019,7.85,28.18,3.77,1.4,M.Reinsel,-9999,-9999
48,TS,TS/Ph8,Control,2019,7.12,28.5,3.95,1.42,M.Reinsel,-9999,-9999
49,TS,TS/Ph9,Control,2019,17.01,10.54,0.26,0.24,M.Reinsel,-9999,-9999
50,TS,TS/Ph9,Control,2019,9.99,11.06,0.19,0.25,M.Reinsel,-9999,-9999
1,SRS,SRS1d,Control,2020,10.54,21.09,1.7,1.26,M.Reinsel,-9999,-9999
2,SRS,SRS1d,Control,2020,8.92,37.31,4.52,3.21,M.Reinsel,-9999,-9999
3,SRS,SRS1d,Control,2020,12.66,20.22,1.7,1.23,M.Reinsel,-9999,-9999
4,SRS,SRS2,Control,2020,7.71,47.74,5.06,3.69,M.Reinsel,-9999,-9999
5,SRS,SRS2,Control,2020,7.29,45.67,5.49,3.56,M.Reinsel,-9999,-9999
6,SRS,SRS2,Control,2020,7.43,45.45,5.47,3.68,M.Reinsel,-9999,-9999
7,SRS,SRS3,Control,2020,12.19,47.73,3.47,4.08,M.Reinsel,-9999,-9999
8,SRS,SRS3,Control,2020,8.57,54.08,4.91,3.98,M.Reinsel,-9999,-9999
9,SRS,SRS3,Control,2020,10.45,48.09,3.97,3.87,M.Reinsel,-9999,-9999
10,SRS,SRS4,Control,2020,9.39,45.27,4.33,2.92,M.Reinsel,-9999,-9999
11,SRS,SRS4,Control,2020,7.36,44.48,5,2.9,M.Reinsel,-9999,-9999
12,SRS,SRS4,Control,2020,5.36,43.35,4.93,3.26,M.Reinsel,-9999,-9999
13,SRS,SRS5,Control,2020,13.82,18.82,1.72,0.94,M.Reinsel,-9999,-9999
14,SRS,SRS5,Control,2020,11.01,22.53,2.36,1.2,M.Reinsel,-9999,-9999
15,SRS,SRS5,Control,2020,14.37,24.13,2.61,1.22,M.Reinsel,-9999,-9999
16,SRS,SRS6,Control,2020,17.41,14.45,1.02,0.57,M.Reinsel,-9999,-9999
17,SRS,SRS6,Control,2020,13.26,14.41,1,0.64,M.Reinsel,-9999,-9999
18,SRS,SRS6,Control,2020,5.15,13.89,0.8,0.59,M.Reinsel,-9999,-9999
19,TS,TS/Ph1,Control,2020,5.09,15.67,0.7,0.73,M.Reinsel,-9999,-9999
20,TS,TS/Ph1,Control,2020,8.54,14.51,0.62,0.69,M.Reinsel,-9999,-9999
21,TS,TS/Ph1,Control,2020,5.12,14.88,0.65,0.73,M.Reinsel,-9999,-9999
22,TS,TS/Ph10,Control,2020,18.49,12.17,0.41,0.36,M.Reinsel,-9999,-9999
23,TS,TS/Ph10,Control,2020,17.19,12.1,0.4,0.36,M.Reinsel,-9999,-9999
24,TS,TS/Ph10,Control,2020,18.6,12.15,0.39,0.36,M.Reinsel,-9999,-9999
25,TS,TS/Ph11,Control,2020,18.33,11.89,0.26,0.29,M.Reinsel,-9999,-9999
26,TS,TS/Ph11,Control,2020,12.7,12.35,0.39,0.38,M.Reinsel,-9999,-9999
27,TS,TS/Ph11,Control,2020,15.23,11.85,0.24,0.28,M.Reinsel,-9999,-9999
28,TS,TS/Ph2,Control,2020,5.73,17.51,0.98,0.93,M.Reinsel,-9999,-9999
29,TS,TS/Ph2,Control,2020,12.06,15.83,0.82,0.78,M.Reinsel,-9999,-9999
30,TS,TS/Ph2,Control,2020,9.1,15.91,0.74,0.76,M.Reinsel,-9999,-9999
31,TS,TS/Ph3,Control,2020,6.01,16.37,0.72,0.8,M.Reinsel,-9999,-9999
32,TS,TS/Ph3,Control,2020,10.66,15.42,0.65,0.61,M.Reinsel,-9999,-9999
33,TS,TS/Ph3,Control,2020,5.56,15.9,0.65,0.74,M.Reinsel,-9999,-9999
34,TS,TS/Ph4,Control,2020,6.55,15.03,0.51,0.58,M.Reinsel,-9999,-9999
35,TS,TS/Ph4,Control,2020,6.27,15.31,0.55,0.65,M.Reinsel,-9999,-9999
36,TS,TS/Ph4,Control,2020,10.69,14.21,0.46,0.52,M.Reinsel,-9999,-9999
37,TS,TS/Ph5,Control,2020,7.99,13.79,0.35,0.46,M.Reinsel,-9999,-9999
38,TS,TS/Ph5,Control,2020,7.77,14.43,0.44,0.54,M.Reinsel,-9999,-9999
39,TS,TS/Ph5,Control,2020,7.67,13.99,0.33,0.46,M.Reinsel,-9999,-9999
40,TS,TS/Ph6b,Control,2020,8.43,14,0.47,0.44,M.Reinsel,-9999,-9999
41,TS,TS/Ph6b,Control,2020,8.09,20.42,2.6,1.08,M.Reinsel,-9999,-9999
42,TS,TS/Ph6b,Control,2020,6.63,24.94,2.49,1.29,M.Reinsel,-9999,-9999
43,TS,TS/Ph7b,Control,2020,7.2,37.49,5.2,1.78,M.Reinsel,-9999,-9999
44,TS,TS/Ph7b,Control,2020,8.29,29.62,4.29,1.55,M.Reinsel,-9999,-9999
45,TS,TS/Ph7b,Control,2020,5.98,36.64,4.53,1.6,M.Reinsel,-9999,-9999
46,TS,TS/Ph8,Control,2020,14.19,22.56,2.61,1.21,M.Reinsel,-9999,-9999
47,TS,TS/Ph8,Control,2020,7.79,23.05,2.42,1.28,M.Reinsel,-9999,-9999
48,TS,TS/Ph8,Control,2020,7.16,24.14,2.62,1.22,M.Reinsel,-9999,-9999
49,TS,TS/Ph9,Control,2020,16.94,11.24,0.33,0.31,M.Reinsel,-9999,-9999
50,TS,TS/Ph9,Control,2020,13.52,10.86,0.25,0.28,M.Reinsel,-9999,-9999
51,TS,TS/Ph9,Control,2020,16.95,10.4,0.63,0.29,M.Reinsel,-9999,-9999
1,SRS,SRS1d,Control,2021,3.96,31.49,3.3,2.66,R.Chambers,-9999,-9999
2,SRS,SRS1d,Control,2021,4.4,27.67,2.69,2.25,R.Chambers,-9999,-9999
3,SRS,SRS1d,Control,2021,6.4,26.89,2.96,2.1,R.Chambers,-9999,-9999
4,SRS,SRS2,Control,2021,4.94,42.6,5.72,3.86,R.Chambers,-9999,-9999
5,SRS,SRS2,Control,2021,2.85,42.63,5.08,3.51,R.Chambers,-9999,-9999
6,SRS,SRS2,Control,2021,3.7,43.11,5.64,3.83,R.Chambers,-9999,-9999
7,SRS,SRS3,Control,2021,4.5,44.21,5.55,3.74,R.Chambers,-9999,-9999
8,SRS,SRS3,Control,2021,5.12,44.49,5.7,3.86,R.Chambers,-9999,-9999
9,SRS,SRS3,Control,2021,3.75,43.85,5.58,3.95,R.Chambers,-9999,-9999
10,SRS,SRS4,Control,2021,4.77,39.28,5.23,2.9,R.Chambers,-9999,-9999
11,SRS,SRS4,Control,2021,7.72,42.35,5.11,2.79,R.Chambers,-9999,-9999
12,SRS,SRS4,Control,2021,8.47,40.02,5.08,2.78,R.Chambers,-9999,-9999
13,SRS,SRS5,Control,2021,13.15,17.61,1.84,0.89,R.Chambers,-9999,-9999
14,SRS,SRS5,Control,2021,9.4,15.4,1.29,0.72,R.Chambers,-9999,-9999
15,SRS,SRS5,Control,2021,18.28,16.76,1.7,0.81,R.Chambers,-9999,-9999
16,SRS,SRS6,Control,2021,12.07,15.44,1.4,0.74,R.Chambers,-9999,-9999
17,SRS,SRS6,Control,2021,15.05,15.16,1.44,0.73,R.Chambers,-9999,-9999
18,SRS,SRS6,Control,2021,14.05,16.39,1.6,0.78,R.Chambers,-9999,-9999
19,TS,TS/Ph1,Control,2021,14.52,14.72,0.61,0.74,R.Chambers,-9999,-9999
20,TS,TS/Ph1,Control,2021,16.55,13.65,0.67,0.64,R.Chambers,-9999,-9999
21,TS,TS/Ph1,Control,2021,10.5,15.03,0.64,0.8,R.Chambers,-9999,-9999
22,TS,TS/Ph10,Control,2021,12.84,12.5,0.42,0.45,R.Chambers,-9999,-9999
23,TS,TS/Ph10,Control,2021,18.75,12.27,0.4,0.4,R.Chambers,-9999,-9999
24,TS,TS/Ph10,Control,2021,17.15,12.15,0.28,0.35,R.Chambers,-9999,-9999
25,TS,TS/Ph11,Control,2021,12.27,12.36,0.58,0.57,R.Chambers,-9999,-9999
26,TS,TS/Ph11,Control,2021,20.21,12.52,0.69,0.55,R.Chambers,-9999,-9999
27,TS,TS/Ph11,Control,2021,13.86,12.63,0.61,0.59,R.Chambers,-9999,-9999
28,TS,TS/Ph2,Control,2021,16.61,16.67,1.02,0.95,R.Chambers,-9999,-9999
29,TS,TS/Ph2,Control,2021,7.21,16.55,0.67,0.93,R.Chambers,-9999,-9999
30,TS,TS/Ph2,Control,2021,11.74,15.41,0.57,0.76,R.Chambers,-9999,-9999
31,TS,TS/Ph3,Control,2021,6.38,16.37,0.5,0.84,R.Chambers,-9999,-9999
32,TS,TS/Ph3,Control,2021,7.15,15.65,0.42,0.77,R.Chambers,-9999,-9999
33,TS,TS/Ph3,Control,2021,14.58,15.4,0.55,0.68,R.Chambers,-9999,-9999
34,TS,TS/Ph4,Control,2021,10.25,15.36,0.49,0.71,R.Chambers,-9999,-9999
35,TS,TS/Ph4,Control,2021,8.03,14.82,0.32,0.61,R.Chambers,-9999,-9999
36,TS,TS/Ph4,Control,2021,7.76,16.46,0.66,0.91,R.Chambers,-9999,-9999
37,TS,TS/Ph5,Control,2021,9.61,17.62,0.91,0.93,R.Chambers,-9999,-9999
38,TS,TS/Ph5,Control,2021,8.37,15.65,0.5,0.73,R.Chambers,-9999,-9999
39,TS,TS/Ph5,Control,2021,12.5,14.94,0.48,0.62,R.Chambers,-9999,-9999
40,TS,TS/Ph6b,Control,2021,5.58,44.24,5.39,2.59,R.Chambers,-9999,-9999
41,TS,TS/Ph6b,Control,2021,6.73,40.43,5.35,2.94,R.Chambers,-9999,-9999
42,TS,TS/Ph6b,Control,2021,7.5,40.53,5.6,2.67,R.Chambers,-9999,-9999
43,TS,TS/Ph7b,Control,2021,16.45,22,2.31,1.04,R.Chambers,-9999,-9999
44,TS,TS/Ph7b,Control,2021,10.7,20.61,2.05,1.01,R.Chambers,-9999,-9999
45,TS,TS/Ph7b,Control,2021,12.03,21.41,2.16,1.08,R.Chambers,-9999,-9999
46,TS,TS/Ph9,Control,2021,17.12,11.22,0.21,0.31,R.Chambers,-9999,-9999
47,TS,TS/Ph9,Control,2021,17.36,11.13,0.22,0.33,R.Chambers,-9999,-9999
48,TS,TS/Ph9,Control,2021,20.14,10.25,0.16,0.28,R.Chambers,-9999,-9999
1,SRS,SRS1d,Control,2022,7.09,21.17,1.84,1.41,R.Chambers,-9999,-9999
2,SRS,SRS1d,Control,2022,9.81,20.08,1.65,1.04,R.Chambers,-9999,-9999
3,SRS,SRS1d,Control,2022,6.37,22.12,2.05,1.38,R.Chambers,-9999,-9999
4,SRS,SRS2,Control,2022,8.59,38.93,5.04,3.31,R.Chambers,-9999,-9999
